Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
415273,2009-09-22,Centurion,SuperSport Park,"South Africa, Sri Lanka",Sri Lanka,normal,55 runs,50,South Africa,field,TM Dilshan,"IJ Gould, SJA Taufel",JJ Crowe,ODI,male
415274,2009-09-23,Johannesburg,New Wanderers Stadium,"Pakistan, West Indies",Pakistan,normal,5 wickets,50,West Indies,bat,Umar Akmal,"SJ Davis, DJ Harper",J Srinath,ODI,male
415275,2009-09-24,Centurion,SuperSport Park,"South Africa, New Zealand",South Africa,normal,5 wickets,50,South Africa,field,WD Parnell,"Aleem Dar, Asad Rauf",RS Mahanama,ODI,male
415276,2009-09-25,Johannesburg,New Wanderers Stadium,"England, Sri Lanka",England,normal,6 wickets,50,England,field,PD Collingwood,"Aleem Dar, BF Bowden",J Srinath,ODI,male
415277,2009-09-26,Johannesburg,New Wanderers Stadium,"Australia, West Indies",Australia,normal,50 runs,50,West Indies,field,MG Johnson,"Asad Rauf, AL Hill",JJ Crowe,ODI,male
415278,2009-09-26,Centurion,SuperSport Park,"India, Pakistan",Pakistan,normal,54 runs,50,Pakistan,bat,Shoaib Malik,"SJ Davis, SJA Taufel",RS Mahanama,ODI,male
415279,2009-09-27,Johannesburg,New Wanderers Stadium,"New Zealand, Sri Lanka",New Zealand,normal,38 runs,50,Sri Lanka,field,DL Vettori,"IJ Gould, DJ Harper",J Srinath,ODI,male
415280,2009-09-27,Centurion,SuperSport Park,"South Africa, England",England,normal,22 runs,50,England,bat,OA Shah,"SJ Davis, AL Hill",RS Mahanama,ODI,male
415281,2009-09-28,Centurion,SuperSport Park,"Australia, India",Null,no result,Null,50,Australia,bat,Null,"BF Bowden, IJ Gould",JJ Crowe,ODI,male
415282,2009-09-29,Johannesburg,New Wanderers Stadium,"England, New Zealand",New Zealand,normal,4 wickets,50,New Zealand,field,GD Elliott,"Asad Rauf, DJ Harper",RS Mahanama,ODI,male
415283,2009-09-30,Centurion,SuperSport Park,"Australia, Pakistan",Australia,normal,2 wickets,50,Australia,field,MEK Hussey,"BF Bowden, AL Hill",J Srinath,ODI,male
415284,2009-09-30,Johannesburg,New Wanderers Stadium,"India, West Indies",India,normal,7 wickets,50,India,field,V Kohli,"Aleem Dar, SJA Taufel",JJ Crowe,ODI,male
415285,2009-10-02,Centurion,SuperSport Park,"Australia, England",Australia,normal,9 wickets,50,England,bat,SR Watson,"Aleem Dar, BF Bowden",JJ Crowe,ODI,male
415286,2009-10-03,Johannesburg,New Wanderers Stadium,"New Zealand, Pakistan",New Zealand,normal,5 wickets,50,Pakistan,bat,DL Vettori,"IJ Gould, SJA Taufel",J Srinath,ODI,male
415287,2009-10-05,Centurion,SuperSport Park,"Australia, New Zealand",Australia,normal,6 wickets,50,New Zealand,bat,SR Watson,"Aleem Dar, IJ Gould",RS Mahanama,ODI,male
416236,2009-10-25,Vadodara,Reliance Stadium,"India, Australia",Australia,normal,4 runs,50,Australia,bat,MEK Hussey,"AM Saheba, SK Tarapore",BC Broad,ODI,male
416237,2009-10-28,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","India, Australia",India,normal,99 runs,50,Australia,field,MS Dhoni,"AM Saheba, SK Tarapore",BC Broad,ODI,male
