Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1367725,2023-05-04,Gibraltar,Europa Sports Complex,"Gibraltar, Portugal",Portugal,normal,7 wickets,20,Gibraltar,bat,KJ Stagno,"JJ Perez, S Maynard",Null,T20,male
1367726,2023-05-04,Gibraltar,Europa Sports Complex,"Portugal, Malta",Portugal,normal,84 runs,20,Malta,field,Sirajullah Khadim,"R Cunningham, S Maynard",Null,T20,male
1367727,2023-05-05,Gibraltar,Europa Sports Complex,"Gibraltar, Malta",Gibraltar,normal,43 runs,20,Gibraltar,bat,IDM Latin,Null,Null,T20,male
1367728,2023-05-06,Gibraltar,Europa Sports Complex,"Gibraltar, Portugal",Portugal,normal,9 wickets,20,Gibraltar,bat,Kuldeep,Null,Null,T20,male
1367729,2023-05-05,Gibraltar,Europa Sports Complex,"Portugal, Malta",Portugal,normal,17 runs,20,Portugal,bat,F Stoman,"JJ Perez, R Cunningham",Null,T20,male
1367730,2023-05-06,Gibraltar,Europa Sports Complex,"Gibraltar, Malta",Gibraltar,normal,80 runs,20,Gibraltar,bat,L Bruce,Null,Null,T20,male
1367731,2023-05-07,Gibraltar,Europa Sports Complex,"Malta, Gibraltar",Malta,normal,1 runs,20,Malta,bat,Fazil Rahman,"S Maynard, SG Chandiramani",Null,T20,male
1367732,2023-05-07,Gibraltar,Europa Sports Complex,"Gibraltar, Portugal",Portugal,normal,1 wickets,20,Gibraltar,bat,Suman Ghimire,"SG Chandiramani, T Atoloye",Null,T20,male
1367733,2023-05-06,Gibraltar,Europa Sports Complex,"Malta, Portugal",Portugal,normal,7 wickets,20,Malta,bat,Kuldeep,"S Mumford, T Atoloye",Null,T20,male
1370782,2023-05-18,Brondby,"Svanholm Park, Brondby","Norway, Denmark",Denmark,normal,9 wickets,20,Norway,bat,ND Laegsgaard,"A From-Hansen, Fareedoon Bhatti",Null,T20,male
1370783,2023-05-18,Brondby,"Svanholm Park, Brondby","Denmark, Finland",Denmark,normal,72 runs,20,Denmark,bat,SA Ahmad,"AK Saini, Fareedoon Bhatti",Null,T20,male
1370785,2023-05-19,Brondby,"Svanholm Park, Brondby","Denmark, Sweden",Sweden,normal,10 wickets,20,Sweden,field,Choudry Share Ali,"Fareedoon Bhatti, SB Ravindra",Null,T20,male
1370787,2023-05-19,Brondby,"Svanholm Park, Brondby","Finland, Denmark",Denmark,normal,8 wickets,20,Finland,bat,HAM Shah,"AK Saini, Fareedoon Bhatti",Null,T20,male
1370790,2023-05-20,Copenhagen,"Solvangs Park, Glostrup","Finland, Norway",Norway,normal,7 wickets,20,Finland,bat,Raza Iqbal,"A From-Hansen, AK Saini",Null,T20,male
1370791,2023-05-21,Copenhagen,"Solvangs Park, Glostrup","Sweden, Finland",Null,tie,Null,20,Finland,field,Prashant Shukla,"Atif Jamal, Fareedoon Bhatti",Null,T20,male
1370902,2023-04-25,Windhoek,"United Cricket Club Ground, Windhoek","United Arab Emirates, Uganda",United Arab Emirates,normal,50 runs,20,Uganda,field,Khushi Sharma,"E Lassen, H Hugo",Null,T20,female
1370903,2023-04-25,Windhoek,"United Cricket Club Ground, Windhoek","Namibia, Hong Kong",Namibia,normal,60 runs,20,Hong Kong,field,W Mwatile,"E Haynes, H Hugo",Null,T20,female
1370904,2023-04-26,Windhoek,"United Cricket Club Ground, Windhoek","United Arab Emirates, Hong Kong",Hong Kong,normal,1 wickets,20,Hong Kong,field,M Hill,"H Hugo, S Loftie-Eaton",Null,T20,female
1370905,2023-04-27,Windhoek,"United Cricket Club Ground, Windhoek","Hong Kong, Uganda",Uganda,normal,3 wickets,20,Hong Kong,bat,C Aweko,"E Lassen, S Loftie-Eaton",Null,T20,female
1370906,2023-04-27,Windhoek,"United Cricket Club Ground, Windhoek","United Arab Emirates, Namibia",Namibia,normal,4 wickets,20,Namibia,field,KA Green,"E Haynes, H Hugo",Null,T20,female
1370908,2023-04-29,Windhoek,"United Cricket Club Ground, Windhoek","Namibia, Uganda",Namibia,normal,8 runs,20,Uganda,field,W Mwatile,"E Haynes, E Lassen",Null,T20,female
1370910,2023-04-30,Windhoek,"United Cricket Club Ground, Windhoek","Namibia, United Arab Emirates",Namibia,normal,7 runs,20,Namibia,bat,Null,"E Haynes, S Loftie-Eaton",Null,T20,female
1370911,2023-05-01,Windhoek,"United Cricket Club Ground, Windhoek","United Arab Emirates, Hong Kong",United Arab Emirates,normal,72 runs,20,Hong Kong,field,Theertha Satish,"E Haynes, E Lassen",Null,T20,female
1370912,2023-05-01,Windhoek,"United Cricket Club Ground, Windhoek","Namibia, Uganda",Uganda,normal,4 wickets,20,Namibia,bat,C Aweko,"H Hugo, S Loftie-Eaton",Null,T20,female
1370914,2023-05-02,Windhoek,"United Cricket Club Ground, Windhoek","Uganda, Namibia",Uganda,normal,3 runs,20,Uganda,bat,S Nampiina,"E Lassen, S Loftie-Eaton",Null,T20,female
1371604,2023-05-09,Colombo,"Sinhalese Sports Club Ground, Colombo","Sri Lanka, Bangladesh",Bangladesh,normal,6 wickets,20,Sri Lanka,bat,Null,"N Perera, RSA Palliyaguruge",V Bowen,T20,female
1371605,2023-05-11,Colombo,"Sinhalese Sports Club Ground, Colombo","Bangladesh, Sri Lanka",Sri Lanka,normal,7 wickets,20,Sri Lanka,field,WK Dilhari,"N Perera, RMPJ Rambukwella",V Bowen,T20,female
1371606,2023-05-12,Colombo,"Sinhalese Sports Club Ground, Colombo","Sri Lanka, Bangladesh",Sri Lanka,normal,44 runs,20,Sri Lanka,bat,NND de Silva,"LDVV Silva, RMPJ Rambukwella",V Bowen,T20,female
1373568,2023-08-30,Durban,"Kingsmead, Durban","Australia, South Africa",Australia,normal,111 runs,20,South Africa,field,MR Marsh,"BP Jele, LB Gcuma",RB Richardson,T20,male
1373569,2023-09-01,Durban,"Kingsmead, Durban","South Africa, Australia",Australia,normal,8 wickets,20,Australia,field,SA Abbott,"A Paleker, Stephen Harris",RB Richardson,T20,male
1373570,2023-09-03,Durban,"Kingsmead, Durban","South Africa, Australia",Australia,normal,5 wickets,20,South Africa,bat,TM Head,"A Paleker, BP Jele",RB Richardson,T20,male
1373579,2023-12-12,Bridgetown,"Kensington Oval, Bridgetown, Barbados","England, West Indies",West Indies,normal,4 wickets,20,West Indies,field,AD Russell,"N Duguid, PA Gustard",RB Richardson,T20,male
1373580,2023-12-14,St George's,"National Cricket Stadium, St George's, Grenada","West Indies, England",West Indies,normal,10 runs,20,England,field,BA King,"GO Brathwaite, JM Williams",RB Richardson,T20,male
1373581,2023-12-16,St George's,"National Cricket Stadium, St George's, Grenada","West Indies, England",England,normal,7 wickets,20,England,field,PD Salt,"LS Reifer, N Duguid",RB Richardson,T20,male
1373582,2023-12-19,Tarouba,"Brian Lara Stadium, Tarouba, Trinidad","England, West Indies",England,normal,75 runs,20,West Indies,field,PD Salt,"GO Brathwaite, PA Gustard",RB Richardson,T20,male
1373583,2023-12-21,Tarouba,"Brian Lara Stadium, Tarouba, Trinidad","England, West Indies",West Indies,normal,4 wickets,20,West Indies,field,G Motie,"LS Reifer, N Duguid",RB Richardson,T20,male
1375850,2024-02-09,Hobart,"Bellerive Oval, Hobart","Australia, West Indies",Australia,normal,11 runs,20,West Indies,field,DA Warner,"GA Abood, SJ Nogajski",DC Boon,T20,male
1375851,2024-02-11,Adelaide,Adelaide Oval,"Australia, West Indies",Australia,normal,34 runs,20,West Indies,field,GJ Maxwell,"GA Abood, SAJ Craig",DC Boon,T20,male
1375852,2024-02-13,Perth,Perth Stadium,"West Indies, Australia",West Indies,normal,37 runs,20,West Indies,bat,AD Russell,"MW Graham-Smith, SJ Nogajski",DC Boon,T20,male
1375863,2023-10-01,Sydney,"North Sydney Oval, Sydney","West Indies, Australia",Australia,normal,8 wickets,20,Australia,field,HK Matthews,"CA Polosak, PJ Gillespie",Kent Hannam,T20,female
1375864,2023-10-02,Sydney,"North Sydney Oval, Sydney","Australia, West Indies",West Indies,normal,7 wickets,20,West Indies,field,HK Matthews,"BC Treloar, Eloise Sheridan",Kent Hannam,T20,female
1375865,2023-10-05,Brisbane,"Allan Border Field, Brisbane","Australia, West Indies",Australia,normal,47 runs,20,West Indies,field,HK Matthews,"CA Polosak, Eloise Sheridan",Kent Hannam,T20,female
1375869,2024-01-27,Canberra,"Manuka Oval, Canberra","South Africa, Australia",Australia,normal,8 wickets,20,Australia,field,BL Mooney,"Eloise Sheridan, S Redfern",Dave Gilbert,T20,female
1375870,2024-01-28,Canberra,"Manuka Oval, Canberra","Australia, South Africa",South Africa,normal,6 wickets,20,Australia,bat,L Wolvaardt,"CA Polosak, Eloise Sheridan",Dave Gilbert,T20,female
1375871,2024-01-30,Hobart,"Bellerive Oval, Hobart","South Africa, Australia",Australia,normal,5 wickets,20,Australia,field,BL Mooney,"Eloise Sheridan, S Redfern",Dave Gilbert,T20,female
1376121,2023-05-29,Bangi,"YSD-UKM Cricket Oval, Bangi","Nepal, Malaysia",Malaysia,normal,5 wickets,20,Malaysia,field,Nik Nur Atiela,"Nur Hijrah, Zaidan Taha",Ramesh Menon,T20,female
1376122,2023-05-30,Bangi,"YSD-UKM Cricket Oval, Bangi","Malaysia, Nepal",Nepal,normal,7 wickets,20,Malaysia,bat,RC Belbashi,"D Sevakumaran, Nur Hijrah",Ramesh Menon,T20,female
1376123,2023-06-01,Bangi,"YSD-UKM Cricket Oval, Bangi","Nepal, Malaysia",Nepal,normal,27 runs,20,Malaysia,field,RC Belbashi,"Izmir Azraf, Rudy Ismandy",Edwin Seah,T20,female
1376124,2023-06-03,Bangi,"YSD-UKM Cricket Oval, Bangi","Nepal, Malaysia",Malaysia,normal,4 wickets,20,Nepal,bat,WA Duraisingam,"Nur Hijrah, Shafizan Shahriman",B Ramani,T20,female
1376125,2023-06-04,Bangi,"YSD-UKM Cricket Oval, Bangi","Malaysia, Nepal",Nepal,normal,3 wickets,20,Nepal,field,SR Magar,"D Sevakumaran, L Poobalan",B Ramani,T20,female
1377727,2023-08-17,Dubai,Dubai International Cricket Stadium,"New Zealand, United Arab Emirates",New Zealand,normal,19 runs,20,United Arab Emirates,field,TG Southee,"Aasif Iqbal, Akbar Ali",AJ Pycroft,T20,male
1377728,2023-08-19,Dubai,Dubai International Cricket Stadium,"New Zealand, United Arab Emirates",United Arab Emirates,normal,7 wickets,20,United Arab Emirates,field,Aayan Afzal Khan,"Aasif Iqbal, Shiju Sam",AJ Pycroft,T20,male
1377729,2023-08-20,Dubai,Dubai International Cricket Stadium,"New Zealand, United Arab Emirates",New Zealand,normal,32 runs,20,United Arab Emirates,field,WA Young,"Akbar Ali, Shiju Sam",AJ Pycroft,T20,male
